numero,fecha_trafico,tipo_cdr,celda_decimal,lac_decimal
573205487611,20240419080000,DATOS,175462,20010
573205487611,20240419080000,DATOS,175462,20010
573205487611,20240419080000,DATOS,175462,20010
573133934909,20240419080001,DATOS,175462,20010
573183051466,20240419080002,DATOS,175462,20010
573004705744,20240419080002,DATOS,175462,20010
573053961794,20240419080002,DATOS,175462,20010
573125349915,20240419080002,DATOS,175462,20010
573125349915,20240419080002,DATOS,175462,20010
573142512369,20240419080003,DATOS,175462,20010
573134168105,20240419080004,DATOS,175462,20010
573124713592,20240419080005,DATOS,175462,20010
573124713592,20240419080005,DATOS,175462,20010
573124713592,20240419080005,DATOS,175462,20010
573124713592,20240419080005,DATOS,175462,20010
573124713592,20240419080005,DATOS,175462,20010
573124713592,20240419080005,DATOS,175462,20010
573203337022,20240419080005,DATOS,175462,20010
573203337022,20240419080005,DATOS,175462,20010
573227357206,20240419080007,DATOS,175462,20010
573214283181,20240419080007,DATOS,175462,20010
573104865333,20240419080011,DATOS,175462,20010
573152909585,20240419080014,DATOS,175462,20010
573152909585,20240419080014,DATOS,175462,20010
573152909585,20240419080014,DATOS,175462,20010
573152909585,20240419080014,DATOS,175462,20010
573152909585,20240419080014,DATOS,175462,20010
573152909585,20240419080014,DATOS,175462,20010
573152909585,20240419080014,DATOS,175462,20010
573209843004,20240419080014,DATOS,175462,20010
573102880827,20240419080014,DATOS,175462,20010
573102880827,20240419080014,DATOS,175462,20010
573124762839,20240419080015,DATOS,175462,20010
573213263415,20240419080016,DATOS,175462,20010
573208942422,20240419080016,DATOS,175462,20010
573107856162,20240419080017,DATOS,175462,20010
573107856162,20240419080017,DATOS,175462,20010
573107856162,20240419080017,DATOS,175462,20010
573104144572,20240419080017,DATOS,175462,20010
573104144572,20240419080017,DATOS,175462,20010
573104144572,20240419080017,DATOS,175462,20010
573106964655,20240419080018,DATOS,175462,20010
573106964655,20240419080018,DATOS,175462,20010
573204042236,20240419080018,DATOS,175462,20010
573204042236,20240419080018,DATOS,175462,20010
573204042236,20240419080018,DATOS,175462,20010
573204042236,20240419080018,DATOS,175462,20010
573204042236,20240419080018,DATOS,175462,20010
573124002559,20240419080022,DATOS,175462,20010
573112845736,20240419080023,DATOS,175462,20010
573112845736,20240419080023,DATOS,175462,20010
573193932560,20240419080026,DATOS,175462,20010
573138139076,20240419080030,DATOS,175462,20010
573138139076,20240419080030,DATOS,175462,20010
573138139076,20240419080030,DATOS,175462,20010
573232425798,20240419080032,DATOS,175462,20010
573108176018,20240419080032,DATOS,175462,20010
573108176018,20240419080032,DATOS,175462,20010
573116650698,20240419080032,DATOS,175462,20010
573132511371,20240419080036,DATOS,175462,20010
573118532380,20240419080037,DATOS,175462,20010
573014675505,20240419080037,DATOS,175462,20010
573123551888,20240419080038,DATOS,175462,20010
573204827023,20240419080040,DATOS,175462,20010
573143314501,20240419080040,DATOS,175462,20010
573143314501,20240419080040,DATOS,175462,20010
573143314501,20240419080040,DATOS,175462,20010
573143314501,20240419080040,DATOS,175462,20010
573143314501,20240419080040,DATOS,175462,20010
573143314501,20240419080040,DATOS,175462,20010
573203818686,20240419080041,DATOS,175462,20010
573138904245,20240419080041,DATOS,175462,20010
